CD_UF;municipio_geocodigo;class_cluster_2010_2019;class_cluster_2020_2022;transition
11;1100015;Episódico/Epidêmico;Epidêmico;Piorou
11;1100023;Epidêmico;Epidêmico;Se manteve
11;1100031;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100049;Epidêmico;Epidêmico;Se manteve
11;1100056;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100064;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100072;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100080;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100098;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100106;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100114;Episódico/Epidêmico;Epidêmico;Piorou
11;1100122;Epidêmico;Epidêmico;Se manteve
11;1100130;Episódico/Epidêmico;Epidêmico;Piorou
11;1100148;Epidêmico;Epidêmico;Se manteve
11;1100155;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100189;Epidêmico;Epidêmico;Se manteve
11;1100205;Epidêmico;Epidêmico;Se manteve
11;1100254;Episódico/Epidêmico;Epidêmico;Piorou
11;1100262;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100288;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100296;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100304;Epidêmico;Epidêmico;Se manteve
11;1100320;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100338;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100346;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100379;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100403;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100452;Epidêmico;Epidêmico;Se manteve
11;1100502;Episódico/Epidêmico;Episódico;Melhorou
11;1100601;Episódico;Episódico/Epidêmico;Piorou
11;1100700;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100809;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1100908;Episódico;Episódico/Epidêmico;Piorou
11;1100924;Episódico;Epidêmico;Piorou
11;1100940;Episódico/Epidêmico;Epidêmico;Piorou
11;1101005;Episódico/Epidêmico;Episódico;Melhorou
11;1101104;Episódico/Epidêmico;Episódico;Melhorou
11;1101203;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1101302;Episódico;Episódico;Se manteve
11;1101401;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1101435;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1101450;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1101468;Episódico/Epidêmico;Episódico;Melhorou
11;1101476;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1101484;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1101492;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1101500;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1101559;Episódico;Episódico/Epidêmico;Piorou
11;1101609;Episódico;Episódico/Epidêmico;Piorou
11;1101708;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
11;1101757;Episódico;Episódico/Epidêmico;Piorou
11;1101807;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
12;1200013;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
12;1200054;Episódico/Epidêmico;Epidêmico;Piorou
12;1200104;Epidêmico;Epidêmico;Se manteve
12;1200138;Episódico;Episódico/Epidêmico;Piorou
12;1200179;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
12;1200203;Epidêmico;Epidêmico;Se manteve
12;1200252;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
12;1200302;Episódico/Epidêmico;Epidêmico;Piorou
12;1200328;Episódico;Episódico;Se manteve
12;1200336;Episódico/Epidêmico;Epidêmico;Piorou
12;1200344;Episódico;Episódico/Epidêmico;Piorou
12;1200351;Episódico;Epidêmico;Piorou
12;1200385;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
12;1200393;Episódico;Episódico/Epidêmico;Piorou
12;1200401;Epidêmico;Epidêmico;Se manteve
12;1200427;Episódico/Epidêmico;Epidêmico;Piorou
12;1200435;Episódico;Sem transmissão;Melhorou
12;1200450;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
12;1200500;Episódico/Epidêmico;Epidêmico;Piorou
12;1200609;Episódico;Epidêmico;Piorou
12;1200708;Epidêmico;Episódico/Epidêmico;Melhorou
12;1200807;Episódico;Episódico/Epidêmico;Piorou
13;1300029;Episódico;Episódico/Epidêmico;Piorou
13;1300060;Episódico;Episódico;Se manteve
13;1300086;Episódico;Sem transmissão;Melhorou
13;1300102;Episódico;Episódico/Epidêmico;Piorou
13;1300144;Episódico;Episódico;Se manteve
13;1300201;Episódico;Episódico/Epidêmico;Piorou
13;1300300;Episódico;Episódico;Se manteve
13;1300409;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
13;1300508;Episódico;Sem transmissão;Melhorou
13;1300607;Episódico;Epidêmico;Piorou
13;1300631;Episódico;Episódico/Epidêmico;Piorou
13;1300680;Episódico;Episódico;Se manteve
13;1300706;Episódico/Epidêmico;Episódico;Melhorou
13;1300805;Epidêmico;Episódico/Epidêmico;Melhorou
13;1300839;Episódico;Episódico;Se manteve
13;1300904;Episódico;Sem transmissão;Melhorou
13;1301001;Episódico;Episódico/Epidêmico;Piorou
13;1301100;Episódico/Epidêmico;Episódico;Melhorou
13;1301159;Episódico;Episódico;Se manteve
13;1301209;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
13;1301308;Episódico;Episódico/Epidêmico;Piorou
13;1301407;Episódico;Episódico/Epidêmico;Piorou
13;1301506;Episódico;Epidêmico;Piorou
13;1301605;Episódico;Episódico;Se manteve
13;1301654;Epidêmico;Epidêmico;Se manteve
13;1301704;Epidêmico;Epidêmico;Se manteve
13;1301803;Episódico;Epidêmico;Piorou
13;1301852;Episódico;Epidêmico;Piorou
13;1301902;Epidêmico;Episódico/Epidêmico;Melhorou
13;1301951;Episódico;Sem transmissão;Melhorou
13;1302009;Episódico;Sem transmissão;Melhorou
13;1302108;Episódico;Episódico/Epidêmico;Piorou
13;1302207;Episódico;Episódico;Se manteve
13;1302306;Episódico;Epidêmico;Piorou
13;1302405;Episódico/Epidêmico;Epidêmico;Piorou
13;1302504;Episódico/Epidêmico;Epidêmico;Piorou
13;1302553;Episódico;Sem transmissão;Melhorou
13;1302603;Epidêmico;Epidêmico;Se manteve
13;1302702;Episódico;Epidêmico;Piorou
13;1302801;Episódico;Episódico;Se manteve
13;1302900;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
13;1303007;Episódico;Sem transmissão;Melhorou
13;1303106;Episódico/Epidêmico;Sem transmissão;Melhorou
13;1303205;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
13;1303304;Episódico/Epidêmico;Episódico/Epidêmico;Se manteve
13;1303403;Episódico/Epidêmico;Epidêmico;Piorou
13;1303502;Episódico;Episódico;Se manteve
13;1303536;Episódico/Epidêmico;Epidêmico;Piorou
13;1303569;Episódico;Episódico/Epidêmico;Piorou
13;1303601;Episódico;Episódico/Epidêmico;Piorou
13;1303700;Episódico;Episódico/Epidêmico;Piorou
13;1303809;Epidêmico;Episódico/Epidêmico;Melhorou
13;1303908;Episódico;Epidêmico;Piorou
13;1303957;Sem transmissão;Episódico;Piorou
